,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
815,19.6,0.12,0.2200,0.2010,0.1123,1.542,3.471,6.506,1149.739,0.392,28.938,2.567,0.67,130535.,28000
816,24.4,0.15,0.2680,0.1971,0.1130,1.551,3.492,6.380,1156.847,0.395,28.380,2.502,0.67,130634.,28000
817,29.3,0.18,0.3135,0.1928,0.1134,1.557,3.504,6.240,1160.731,0.396,27.755,2.438,0.67,130756.,28000
818,34.2,0.22,0.3565,0.1879,0.1134,1.557,3.504,6.083,1160.954,0.396,27.057,2.377,0.67,130899.,28000
819,39.1,0.25,0.3971,0.1827,0.1131,1.552,3.494,5.912,1157.682,0.395,26.297,2.316,0.67,131065.,28000
820,44.0,0.28,0.4354,0.1769,0.1123,1.543,3.472,5.726,1150.272,0.392,25.469,2.258,0.67,131252.,28000
821,48.9,0.31,0.4719,0.1707,0.1111,1.526,3.434,5.524,1137.585,0.388,24.569,2.202,0.67,131461.,28000
822,53.8,0.34,0.5070,0.1637,0.1091,1.498,3.372,5.297,1116.990,0.381,23.562,2.151,0.67,131691.,28000
823,58.7,0.37,0.5403,0.1564,0.1067,1.465,3.298,5.061,1092.559,0.373,22.511,2.101,0.67,131944.,28000
824,63.5,0.40,0.5716,0.1488,0.1040,1.428,3.215,4.818,1065.005,0.363,21.430,2.052,0.67,132217.,28000
