,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
459,17.6,0.13,0.3006,0.0546,0.0235,0.457,1.801,2.922,340.952,0.203,12.998,3.887,0.57,146056.,16000
460,19.8,0.15,0.3330,0.0533,0.0233,0.453,1.784,2.851,337.787,0.202,12.680,3.828,0.57,146114.,16000
461,22.1,0.16,0.3643,0.0518,0.0230,0.447,1.763,2.772,333.686,0.199,12.330,3.768,0.57,146180.,16000
462,24.3,0.18,0.3943,0.0502,0.0227,0.441,1.736,2.686,328.626,0.196,11.949,3.708,0.57,146251.,16000
463,26.5,0.19,0.4230,0.0485,0.0222,0.433,1.704,2.594,322.598,0.193,11.537,3.647,0.57,146330.,16000
464,28.7,0.21,0.4505,0.0466,0.0218,0.423,1.668,2.495,315.712,0.188,11.097,3.584,0.57,146416.,16000
465,30.9,0.23,0.4762,0.0446,0.0212,0.412,1.624,2.384,307.403,0.183,10.606,3.518,0.57,146508.,16000
466,33.1,0.24,0.4997,0.0422,0.0205,0.399,1.571,2.260,297.433,0.178,10.051,3.446,0.57,146607.,16000
467,35.3,0.26,0.5206,0.0396,0.0197,0.383,1.509,2.119,285.635,0.170,9.427,3.366,0.57,146713.,16000
468,37.5,0.27,0.5393,0.0369,0.0188,0.366,1.443,1.976,273.112,0.163,8.788,3.281,0.57,146826.,16000
469,39.7,0.29,0.5553,0.0342,0.0179,0.349,1.373,1.828,259.880,0.155,8.133,3.191,0.57,146945.,16000
470,41.9,0.31,0.5697,0.0314,0.0169,0.329,1.296,1.678,245.435,0.146,7.465,3.102,0.57,147071.,16000
471,44.1,0.32,0.5804,0.0285,0.0159,0.309,1.217,1.524,230.352,0.137,6.781,3.002,0.57,147204.,16000
472,46.3,0.34,0.5876,0.0256,0.0148,0.287,1.132,1.367,214.266,0.128,6.082,2.895,0.57,147343.,16000
473,48.5,0.36,0.5903,0.0226,0.0136,0.265,1.042,1.207,197.264,0.118,5.369,2.776,0.57,147489.,16000
474,50.7,0.37,0.5862,0.0195,0.0124,0.241,0.949,1.044,179.568,0.107,4.642,2.636,0.58,147642.,16000
475,52.9,0.39,0.5702,0.0164,0.0112,0.217,0.855,0.877,161.816,0.097,3.900,2.458,0.58,147801.,16000
476,55.1,0.40,0.5379,0.0132,0.0099,0.193,0.761,0.707,143.997,0.086,3.143,2.226,0.58,147967.,16000
477,57.3,0.42,0.4838,0.0100,0.0087,0.169,0.665,0.534,125.860,0.075,2.376,1.925,0.58,148140.,16000
478,59.5,0.44,0.3971,0.0067,0.0074,0.144,0.566,0.359,107.066,0.064,1.597,1.521,0.58,148319.,16000
479,61.7,0.45,0.2542,0.0034,0.0060,0.117,0.461,0.181,87.342,0.052,0.804,0.939,0.58,148505.,16000
480,63.9,0.47,-0.0016,0.0000,0.0046,0.090,0.353,-0.001,66.788,0.040,-0.004,-0.006,0.58,148697.,16000
481,0.0,0.00,0.0000,0.0611,0.0231,0.539,1.998,3.691,401.819,0.226,16.418,4.167,0.61,154951.,17000
482,2.3,0.02,0.0424,0.0608,0.0232,0.541,2.007,3.670,403.602,0.227,16.322,4.124,0.61,154955.,17000
483,4.7,0.03,0.0838,0.0603,0.0233,0.544,2.015,3.643,405.308,0.228,16.204,4.077,0.61,154966.,17000
484,7.0,0.05,0.1241,0.0598,0.0234,0.545,2.022,3.610,406.734,0.228,16.056,4.025,0.61,154984.,17000
485,9.4,0.06,0.1632,0.0591,0.0234,0.547,2.027,3.570,407.754,0.229,15.877,3.971,0.61,155010.,17000
