,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
179,51.4,1.01,0.3657,0.0115,0.0317,0.033,0.342,0.087,24.260,0.039,0.386,1.621,0.22,68991.,6000
180,53.3,1.04,-0.0013,0.0000,0.0206,0.021,0.221,0.000,15.724,0.025,-0.001,-0.006,0.23,69377.,6000
181,0.0,0.00,0.0000,0.2108,0.1123,0.183,1.647,2.158,136.431,0.186,9.601,7.176,0.25,74025.,7000
182,2.1,0.04,0.0654,0.2101,0.1155,0.188,1.695,2.152,140.369,0.191,9.571,6.953,0.25,74033.,7000
183,4.3,0.07,0.1266,0.2092,0.1187,0.193,1.742,2.142,144.249,0.197,9.527,6.735,0.25,74059.,7000
184,6.4,0.11,0.1840,0.2078,0.1218,0.198,1.786,2.128,147.930,0.202,9.465,6.525,0.25,74102.,7000
185,8.6,0.14,0.2378,0.2058,0.1245,0.203,1.826,2.108,151.227,0.206,9.376,6.323,0.25,74163.,7000
186,10.7,0.18,0.2881,0.2033,0.1268,0.207,1.860,2.082,154.071,0.210,9.259,6.128,0.25,74240.,7000
187,12.9,0.22,0.3352,0.2000,0.1287,0.210,1.888,2.049,156.390,0.213,9.113,5.942,0.25,74334.,7000
188,15.0,0.25,0.3791,0.1962,0.1302,0.212,1.910,2.010,158.222,0.216,8.939,5.761,0.25,74446.,7000
189,17.2,0.29,0.4199,0.1918,0.1314,0.214,1.927,1.965,159.598,0.218,8.739,5.583,0.25,74574.,7000
190,19.3,0.32,0.4576,0.1868,0.1321,0.215,1.938,1.913,160.480,0.219,8.510,5.408,0.25,74719.,7000
191,21.4,0.36,0.4920,0.1812,0.1324,0.216,1.942,1.856,160.823,0.219,8.254,5.234,0.25,74881.,7000
192,23.6,0.40,0.5237,0.1749,0.1321,0.215,1.937,1.791,160.453,0.219,7.968,5.064,0.25,75060.,7000
193,25.7,0.43,0.5534,0.1679,0.1309,0.213,1.920,1.720,158.990,0.217,7.649,4.906,0.25,75255.,7000
194,27.9,0.47,0.5815,0.1600,0.1286,0.209,1.886,1.639,156.212,0.213,7.288,4.758,0.25,75466.,7000
195,30.0,0.50,0.6072,0.1517,0.1257,0.205,1.844,1.554,152.753,0.208,6.910,4.613,0.25,75694.,7000
196,32.2,0.54,0.6349,0.1434,0.1218,0.198,1.787,1.469,147.977,0.202,6.533,4.502,0.25,75938.,7000
197,34.3,0.58,0.6557,0.1347,0.1181,0.192,1.733,1.379,143.498,0.196,6.134,4.359,0.25,76198.,7000
198,36.5,0.61,0.6740,0.1257,0.1139,0.186,1.672,1.287,138.439,0.189,5.725,4.217,0.25,76474.,7000
199,38.6,0.65,0.7012,0.1166,0.1076,0.175,1.579,1.194,130.747,0.178,5.313,4.144,0.26,76765.,7000
200,40.7,0.68,0.7151,0.1072,0.1024,0.167,1.502,1.098,124.382,0.170,4.883,4.003,0.26,77072.,7000
201,42.9,0.72,0.7259,0.0975,0.0966,0.157,1.417,0.999,117.352,0.160,4.443,3.860,0.26,77394.,7000
202,45.0,0.75,0.7330,0.0876,0.0902,0.147,1.324,0.897,109.635,0.150,3.992,3.713,0.26,77731.,7000
